,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20,Cell_21,Cell_22,Cell_23,Cell_24,Cell_25,Cell_26,Cell_27,Cell_28,Cell_29,Cell_30
ABCA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.0,0.0,0.0,70.0
ABCA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,472.0,0.0,0.0,4.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
ABCA8,0.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,7.0,0.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,3.0,1.0
ABCA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABCB10,0.0,0.0,0.0,0.0,313.0,308.0,29.0,0.0,1.0,0.0,74.0,257.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,1.0,1712.0,310.0,0.0,0.0,0.0,508.0,0.0,0.0,421.0,176.0
ABCB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB6,0.0,152.0,5.0,1.0,195.0,160.0,76.0,0.0,1009.0,2535.0,1042.0,146.0,101.0,0.0,37.0,423.0,165.0,340.0,0.0,109.0,44.0,130.0,1280.0,82.0,0.0,691.0,1118.0,0.0,3381.0,1111.0
ABCB7,0.0,787.0,0.0,0.0,377.0,1106.0,107.0,1.0,0.0,0.0,0.0,520.0,1776.0,104.0,21.0,399.0,0.0,0.0,0.0,0.0,3569.0,432.0,629.0,0.0,0.0,0.0,701.0,3.0,781.0,0.0
ABCB8,0.0,403.0,5.0,0.0,19.0,1.0,125.0,39.0,333.0,0.0,24.0,24.0,957.0,365.0,39.0,8.0,1826.0,52.0,1338.0,121.0,797.0,0.0,0.0,5.0,0.0,0.0,1.0,1912.0,4.0,775.0
ABCB9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0
ABCC1,0.0,1.0,0.0,1245.0,0.0,0.0,0.0,3.0,0.0,0.0,257.0,0.0,0.0,0.0,39.0,190.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,295.0
ABCC10,0.0,33.0,0.0,500.0,251.0,0.0,0.0,0.0,65.0,0.0,190.0,0.0,11.0,0.0,46.0,107.0,0.0,101.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0
ABCC13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,135.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ABCC4,0.0,0.0,631.0,0.0,0.0,0.0,325.0,0.0,6.0,186.0,50.0,0.0,90.0,0.0,0.0,0.0,0.0,558.0,0.0,95.0,1244.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2549.0
ABCC5,9033.0,0.0,1524.0,1044.0,342.0,0.0,512.0,1.0,8.0,1040.0,43.0,0.0,2231.0,2.0,241.0,757.0,55.0,407.0,0.0,195.0,581.0,0.0,1504.0,0.0,1733.0,922.0,1448.0,1741.0,3029.0,748.0
ABCC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,533.0,29.0
ABCD3,0.0,288.0,3344.0,4457.0,42.0,0.0,436.0,0.0,514.0,6233.0,2566.0,0.0,2655.0,48.0,0.0,0.0,5921.0,6.0,0.0,23.0,5775.0,0.0,0.0,26.0,386.0,848.0,331.0,0.0,2925.0,794.0
ABCD4,1575.0,849.0,0.0,0.0,39.0,0.0,0.0,9.0,36.0,0.0,0.0,0.0,1887.0,0.0,0.0,0.0,732.0,0.0,0.0,16.0,1077.0,269.0,0.0,0.0,0.0,44.0,0.0,0.0,195.0,0.0
ABCE1,3567.0,1046.0,4115.0,1192.0,606.0,1076.0,668.0,0.0,0.0,5871.0,2568.0,1589.0,2843.0,121.0,311.0,777.0,6100.0,2597.0,343.0,28.0,8855.0,1683.0,1198.0,8452.0,1.0,2951.0,1108.0,1084.0,6194.0,5880.0
ABCF1,1192.0,1076.0,4245.0,4882.0,1508.0,1109.0,512.0,861.0,235.0,11831.0,2892.0,262.0,1789.0,1281.0,237.0,611.0,15153.0,1425.0,1285.0,443.0,5827.0,573.0,3467.0,14229.0,2169.0,2372.0,10423.0,594.0,14073.0,2100.0
ABCF2,120.0,615.0,2408.0,1491.0,1141.0,1976.0,581.0,1740.0,0.0,16671.0,3044.0,1.0,3889.0,0.0,5.0,4.0,7311.0,1725.0,0.0,154.0,14655.0,25.0,5590.0,8244.0,1638.0,3366.0,6722.0,895.0,12066.0,5166.0
ABCF3,0.0,1166.0,1146.0,2957.0,367.0,645.0,89.0,1245.0,0.0,4847.0,725.0,0.0,3069.0,238.0,127.0,582.0,3817.0,629.0,215.0,327.0,5443.0,0.0,3039.0,2234.0,0.0,371.0,886.0,486.0,1482.0,1230.0
ABCG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG2,0.0,0.0,0.0,5628.0,0.0,0.0,1493.0,0.0,0.0,3768.0,4161.0,1034.0,0.0,0.0,0.0,0.0,5311.0,0.0,0.0,116.0,4777.0,803.0,3106.0,4596.0,195.0,2060.0,11479.0,1.0,6311.0,4292.0
ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD10,0.0,0.0,0.0,301.0,25.0,316.0,0.0,0.0,0.0,91.0,699.0,49.0,203.0,0.0,817.0,0.0,1236.0,494.0,593.0,0.0,2551.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0
ABHD11,4563.0,4.0,24.0,6.0,0.0,0.0,626.0,0.0,20.0,2125.0,911.0,0.0,0.0,0.0,1.0,527.0,2183.0,0.0,0.0,13.0,3390.0,165.0,4505.0,0.0,845.0,431.0,1723.0,0.0,21.0,1098.0
ABHD12,0.0,245.0,1199.0,559.0,37.0,2.0,112.0,0.0,144.0,264.0,485.0,32.0,0.0,686.0,0.0,288.0,5521.0,0.0,283.0,21.0,413.0,8.0,1024.0,0.0,45.0,279.0,151.0,0.0,122.0,32.0
ABHD12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,0.0,871.0,0.0,464.0,0.0,585.0,1078.0,230.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,381.0,51.0,0.0,0.0,0.0
ABHD13,0.0,96.0,5.0,0.0,418.0,0.0,235.0,221.0,0.0,0.0,0.0,0.0,1419.0,0.0,0.0,24.0,3013.0,0.0,25.0,1.0,0.0,0.0,169.0,0.0,113.0,0.0,0.0,0.0,1.0,0.0
ABHD14A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,0.0,0.0,0.0,1106.0,0.0,0.0,0.0,0.0,137.0,8.0,0.0,0.0,0.0
ABHD14B,0.0,49.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,13.0,1.0,166.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD15,0.0,0.0,1.0,0.0,7.0,301.0,0.0,0.0,13.0,860.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,169.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD16A,0.0,731.0,708.0,0.0,1.0,281.0,0.0,754.0,444.0,293.0,900.0,0.0,2291.0,0.0,0.0,31.0,1012.0,425.0,0.0,85.0,79.0,0.0,0.0,1939.0,0.0,0.0,0.0,0.0,768.0,652.0
ABHD2,0.0,13.0,843.0,186.0,106.0,2.0,24.0,0.0,0.0,6.0,187.0,0.0,295.0,264.0,0.0,514.0,848.0,100.0,0.0,17.0,450.0,9.0,258.0,116.0,244.0,42.0,0.0,0.0,57.0,196.0
ABHD3,0.0,27.0,2013.0,647.0,6.0,0.0,0.0,395.0,0.0,516.0,203.0,6.0,0.0,0.0,0.0,0.0,1880.0,0.0,0.0,210.0,0.0,5.0,324.0,51.0,0.0,204.0,0.0,0.0,3339.0,779.0
ABHD4,0.0,118.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,212.0,30.0,0.0,0.0,1.0,0.0,0.0,1429.0,272.0,0.0,1.0,3015.0,0.0,0.0,0.0,0.0,92.0,944.0,1.0,2638.0,0.0
ABHD5,0.0,34.0,1978.0,3117.0,806.0,1295.0,1127.0,2.0,68.0,438.0,876.0,539.0,5764.0,20.0,1.0,0.0,4333.0,112.0,0.0,4.0,2196.0,0.0,2090.0,2270.0,0.0,1306.0,0.0,0.0,361.0,1209.0
ABHD6,20152.0,317.0,835.0,0.0,223.0,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,1655.0,0.0,0.0
ABHD8,0.0,0.0,0.0,131.0,0.0,0.0,18.0,0.0,0.0,362.0,61.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,4.0,183.0,0.0,0.0,0.0,25.0,24.0,102.0,0.0,371.0,26.0
ABI1,12.0,855.0,571.0,332.0,567.0,1877.0,395.0,1269.0,37.0,4079.0,2763.0,230.0,2586.0,785.0,49.0,1154.0,5167.0,1521.0,0.0,1.0,2961.0,588.0,1508.0,6131.0,18.0,1015.0,1473.0,6.0,6482.0,1387.0
ABI2,0.0,0.0,0.0,0.0,0.0,0.0,130.0,35.0,0.0,80.0,0.0,331.0,230.0,0.0,686.0,0.0,0.0,0.0,835.0,19.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,261.0
ABI3BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ABL1,0.0,117.0,0.0,0.0,51.0,81.0,187.0,0.0,0.0,0.0,220.0,90.0,775.0,723.0,327.0,0.0,1.0,1.0,646.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,109.0,16.0
ABL2,0.0,173.0,2408.0,32.0,11.0,45.0,0.0,89.0,12.0,0.0,290.0,38.0,1.0,6.0,661.0,251.0,1741.0,0.0,0.0,91.0,732.0,52.0,595.0,0.0,0.0,51.0,2617.0,0.0,194.0,5.0
ABLIM1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
ABO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,1837.0,1.0,1059.0,43.0,1.0,6.0,340.0,2182.0,6.0,6622.0,36.0,3.0,1.0,2135.0,669.0,5.0,404.0,0.0,105.0,413.0,1293.0,1.0,167.0,1268.0,0.0,142.0,0.0,705.0,1217.0,723.0
ABRACL,0.0,816.0,11291.0,1223.0,170.0,0.0,670.0,299.0,0.0,531.0,2244.0,339.0,1356.0,1004.0,1121.0,3037.0,5151.0,287.0,18.0,182.0,5810.0,0.0,0.0,300.0,271.0,1043.0,159.0,0.0,2851.0,495.0
ABT1,708.0,534.0,5058.0,6723.0,7.0,925.0,1456.0,1127.0,746.0,9687.0,4425.0,0.0,12500.0,1925.0,153.0,665.0,10598.0,2679.0,1570.0,28.0,11102.0,277.0,5494.0,2388.0,993.0,758.0,2601.0,1170.0,9711.0,3066.0
ABTB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,279.0,0.0,0.0,0.0,22.0,0.0,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTB2,0.0,7.0,34.0,0.0,76.0,0.0,58.0,0.0,0.0,0.0,0.0,264.0,519.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0
ACAA1,35.0,219.0,0.0,0.0,224.0,0.0,217.0,1.0,420.0,1061.0,885.0,0.0,3340.0,0.0,110.0,0.0,32.0,251.0,267.0,85.0,1597.0,127.0,860.0,56.0,3.0,449.0,410.0,14.0,32.0,0.0
ACAA2,5917.0,514.0,2718.0,3932.0,172.0,387.0,498.0,1690.0,263.0,18140.0,2707.0,873.0,3928.0,2010.0,91.0,15.0,18899.0,775.0,586.0,343.0,3238.0,844.0,785.0,2079.0,0.0,2806.0,5094.0,1000.0,4169.0,2916.0
ACACA,0.0,1591.0,42.0,0.0,32.0,0.0,813.0,0.0,53.0,6344.0,511.0,0.0,2475.0,79.0,508.0,124.0,4068.0,158.0,0.0,585.0,764.0,457.0,6.0,267.0,3881.0,867.0,780.0,0.0,776.0,1266.0
ACACB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAD10,0.0,339.0,51.0,0.0,0.0,248.0,0.0,0.0,16.0,0.0,20.0,587.0,0.0,11.0,0.0,0.0,230.0,587.0,439.0,189.0,236.0,0.0,0.0,3279.0,0.0,0.0,0.0,0.0,0.0,3.0
ACAD8,0.0,737.0,1408.0,323.0,0.0,0.0,0.0,106.0,26.0,0.0,742.0,0.0,0.0,71.0,0.0,691.0,317.0,0.0,0.0,20.0,2563.0,203.0,0.0,244.0,601.0,234.0,0.0,0.0,762.0,0.0
ACAD9,0.0,0.0,1823.0,367.0,79.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,113.0,7.0,852.0,8.0,1099.0,0.0,0.0,168.0,2161.0,0.0,0.0,59.0,6.0,5.0,1730.0,0.0,213.0,604.0
ACADM,4604.0,1834.0,1.0,1977.0,1124.0,482.0,1.0,74.0,0.0,2875.0,1422.0,1137.0,2454.0,296.0,0.0,313.0,4630.0,3935.0,481.0,13.0,5791.0,911.0,3128.0,0.0,828.0,1563.0,5631.0,1830.0,1647.0,982.0
