"","Cell","Batch","Group","ExpLibSize"
"Cell36","Cell36","Batch1","Group5",70883.8723883739
"Cell37","Cell37","Batch1","Group1",57862.9091044556
"Cell38","Cell38","Batch1","Group2",77357.4514384677
"Cell39","Cell39","Batch1","Group3",38025.8881937197
"Cell40","Cell40","Batch1","Group2",48391.0590498961
"Cell41","Cell41","Batch1","Group1",56248.5912618482
"Cell42","Cell42","Batch1","Group5",61381.4601040364
"Cell43","Cell43","Batch1","Group1",48917.0751761581
"Cell44","Cell44","Batch1","Group2",52433.7651924617
"Cell45","Cell45","Batch1","Group4",61768.5250250866
"Cell46","Cell46","Batch1","Group5",56076.1244372103
"Cell47","Cell47","Batch1","Group2",65428.7791370285
"Cell48","Cell48","Batch1","Group4",53968.0757512842
"Cell49","Cell49","Batch1","Group1",48778.2356715254
"Cell50","Cell50","Batch1","Group2",49341.7892383236
"Cell51","Cell51","Batch1","Group1",71371.6807862563
"Cell52","Cell52","Batch1","Group2",67046.8443696798
"Cell53","Cell53","Batch1","Group2",64826.9675335656
"Cell54","Cell54","Batch1","Group4",58260.0928590906
"Cell55","Cell55","Batch1","Group1",55731.0520351233
"Cell56","Cell56","Batch1","Group4",69288.3424412923
"Cell57","Cell57","Batch1","Group4",55589.7500510007
"Cell58","Cell58","Batch1","Group2",101065.390150374
"Cell59","Cell59","Batch1","Group4",61592.2145056578
"Cell60","Cell60","Batch1","Group4",65640.8237958344
"Cell61","Cell61","Batch1","Group3",60882.7765899891
"Cell62","Cell62","Batch1","Group1",69966.2096238094
"Cell63","Cell63","Batch1","Group4",66416.0471732692
"Cell64","Cell64","Batch1","Group4",69852.0290156702
"Cell65","Cell65","Batch1","Group1",66304.6626139654
"Cell66","Cell66","Batch1","Group4",68205.0135581871
"Cell67","Cell67","Batch1","Group3",64168.5625722574
"Cell68","Cell68","Batch1","Group2",80184.2252987313
"Cell69","Cell69","Batch1","Group2",64359.8098454244
"Cell70","Cell70","Batch1","Group3",48906.889999008
"Cell71","Cell71","Batch1","Group3",43071.5672598187
"Cell72","Cell72","Batch1","Group4",50611.4710556295
"Cell73","Cell73","Batch1","Group2",64020.2354435352
"Cell74","Cell74","Batch1","Group1",54399.5629535181
"Cell75","Cell75","Batch1","Group4",53231.4601134963
"Cell76","Cell76","Batch1","Group3",58262.654036023
"Cell77","Cell77","Batch1","Group2",81078.2605358574
"Cell78","Cell78","Batch1","Group4",62903.5781542836
"Cell79","Cell79","Batch1","Group1",57205.3481398043
"Cell80","Cell80","Batch1","Group5",43389.5789867028
"Cell81","Cell81","Batch1","Group4",66511.8177493447
"Cell82","Cell82","Batch1","Group3",45754.0406874352
"Cell83","Cell83","Batch1","Group2",57840.576629793
"Cell84","Cell84","Batch1","Group1",50243.6312652809
"Cell85","Cell85","Batch1","Group4",61900.7282650432
"Cell86","Cell86","Batch1","Group1",68806.210817012
"Cell87","Cell87","Batch1","Group5",59199.5935382993
"Cell88","Cell88","Batch1","Group5",47028.3374579661
"Cell89","Cell89","Batch1","Group1",60359.248088209
"Cell90","Cell90","Batch1","Group5",38674.8801996351
"Cell91","Cell91","Batch1","Group4",55854.8533260714
"Cell92","Cell92","Batch1","Group3",39162.7307528728
"Cell93","Cell93","Batch1","Group1",71417.9169173225
"Cell94","Cell94","Batch1","Group4",55280.2192795044
"Cell95","Cell95","Batch1","Group1",61940.3102562581
"Cell96","Cell96","Batch1","Group4",43510.4242225531
"Cell97","Cell97","Batch1","Group4",59612.4060689686
"Cell98","Cell98","Batch1","Group1",54819.0371305134
"Cell99","Cell99","Batch1","Group3",51828.5026967226
"Cell100","Cell100","Batch1","Group2",46653.6306367708
"Cell101","Cell101","Batch1","Group4",48410.7060485542
"Cell102","Cell102","Batch1","Group3",60030.3605469731
"Cell103","Cell103","Batch1","Group2",48560.4675442545
"Cell104","Cell104","Batch1","Group5",58433.139270622
"Cell105","Cell105","Batch1","Group4",44745.3164435047
"Cell106","Cell106","Batch1","Group3",66184.0367783499
"Cell107","Cell107","Batch1","Group4",54210.1752980698
"Cell108","Cell108","Batch1","Group5",70721.4075801777
"Cell109","Cell109","Batch1","Group4",67931.4406363541
"Cell110","Cell110","Batch1","Group3",67899.8801141221
"Cell111","Cell111","Batch1","Group5",61213.4162054215
"Cell112","Cell112","Batch1","Group3",54358.3518274684
"Cell113","Cell113","Batch1","Group1",52894.2442733969
"Cell114","Cell114","Batch1","Group3",44851.3052596922
"Cell115","Cell115","Batch1","Group1",65625.0691044284
"Cell116","Cell116","Batch1","Group1",43019.2099189056
"Cell117","Cell117","Batch1","Group1",57101.1950389976
"Cell118","Cell118","Batch1","Group3",55231.9295833241
"Cell119","Cell119","Batch1","Group1",41146.3177291397
"Cell120","Cell120","Batch1","Group4",83004.5177124944
"Cell121","Cell121","Batch1","Group5",96131.525675609
"Cell122","Cell122","Batch1","Group5",51019.1801894927
"Cell123","Cell123","Batch1","Group5",59355.1272009958
"Cell124","Cell124","Batch1","Group4",47016.3578737961
"Cell125","Cell125","Batch1","Group2",47884.1689087552
"Cell126","Cell126","Batch1","Group1",54032.0202922898
"Cell127","Cell127","Batch1","Group2",60815.3084946416
"Cell128","Cell128","Batch1","Group2",56521.8455926923
"Cell129","Cell129","Batch1","Group5",60990.0333341269
"Cell130","Cell130","Batch1","Group1",98799.6609345396
"Cell131","Cell131","Batch1","Group2",72927.5142049163
"Cell132","Cell132","Batch1","Group4",63186.5223939897
"Cell133","Cell133","Batch1","Group4",55495.4468870204
"Cell134","Cell134","Batch1","Group2",79144.030569767
"Cell135","Cell135","Batch1","Group1",71061.6501128963
"Cell136","Cell136","Batch1","Group3",95445.4800002133
"Cell137","Cell137","Batch1","Group5",58188.7573626404
"Cell138","Cell138","Batch1","Group2",52077.861267066
"Cell139","Cell139","Batch1","Group3",70037.4224537376
"Cell140","Cell140","Batch1","Group2",91056.0241278318
"Cell141","Cell141","Batch1","Group2",54934.9000400215
"Cell142","Cell142","Batch1","Group3",67852.1179689238
"Cell143","Cell143","Batch1","Group5",60021.5052105207
"Cell144","Cell144","Batch1","Group2",74498.5824914147
"Cell145","Cell145","Batch1","Group1",48579.5384602895
"Cell146","Cell146","Batch1","Group4",72783.5194539408
"Cell147","Cell147","Batch1","Group2",46123.5586284136
"Cell148","Cell148","Batch1","Group2",35419.0649244403
"Cell149","Cell149","Batch1","Group1",75580.2750410424
"Cell150","Cell150","Batch1","Group4",52482.0755427577
"Cell151","Cell151","Batch1","Group1",86732.4293778392
"Cell152","Cell152","Batch1","Group4",67391.1591135266
"Cell153","Cell153","Batch1","Group1",52420.8623060166
"Cell154","Cell154","Batch1","Group1",61424.8547011068
"Cell155","Cell155","Batch1","Group4",61611.1570479584
"Cell156","Cell156","Batch1","Group3",64036.3847851456
"Cell157","Cell157","Batch1","Group3",54831.3521989076
"Cell158","Cell158","Batch1","Group5",95772.4501280757
"Cell159","Cell159","Batch1","Group4",56291.0653694485
"Cell160","Cell160","Batch1","Group1",58599.1596312064
"Cell161","Cell161","Batch1","Group4",54959.1334439003
"Cell162","Cell162","Batch1","Group3",76070.7381370485
"Cell163","Cell163","Batch1","Group5",54647.3091099781
"Cell164","Cell164","Batch1","Group3",65129.342681934
"Cell165","Cell165","Batch1","Group4",63525.2996689191
"Cell166","Cell166","Batch1","Group4",69854.5441155491
"Cell167","Cell167","Batch1","Group4",45456.5947910169
"Cell168","Cell168","Batch1","Group4",50997.3659621672
"Cell169","Cell169","Batch1","Group4",46189.6914956436
"Cell170","Cell170","Batch1","Group4",73951.655335997
"Cell171","Cell171","Batch1","Group4",85959.7938117893
"Cell172","Cell172","Batch1","Group5",66794.9614983941
"Cell173","Cell173","Batch1","Group5",61269.6016781584
"Cell174","Cell174","Batch1","Group5",52826.6871476338
"Cell175","Cell175","Batch1","Group5",68399.712579386
"Cell176","Cell176","Batch1","Group1",56161.503851376
"Cell177","Cell177","Batch1","Group2",98699.761573175
"Cell178","Cell178","Batch1","Group3",90765.691686822
"Cell179","Cell179","Batch1","Group1",49059.9995332769
"Cell180","Cell180","Batch1","Group1",73542.2009452858
"Cell181","Cell181","Batch1","Group1",66573.5292826407
"Cell182","Cell182","Batch1","Group3",50946.0110847545
"Cell183","Cell183","Batch1","Group5",75130.9941891848
"Cell184","Cell184","Batch1","Group5",48632.555516695
"Cell185","Cell185","Batch1","Group5",38376.4706846302
"Cell186","Cell186","Batch1","Group4",58920.1882645003
"Cell187","Cell187","Batch1","Group4",56084.3228631051
"Cell188","Cell188","Batch1","Group1",66008.8618325417
"Cell189","Cell189","Batch1","Group3",54307.671309753
"Cell190","Cell190","Batch1","Group5",53961.1627564291
"Cell191","Cell191","Batch1","Group2",37523.9857062285
"Cell192","Cell192","Batch1","Group3",66349.4590929578
"Cell193","Cell193","Batch1","Group1",78657.3871967703
"Cell194","Cell194","Batch1","Group1",49647.1476661163
"Cell195","Cell195","Batch1","Group2",53671.3819400403
"Cell196","Cell196","Batch1","Group5",65901.1379223691
"Cell197","Cell197","Batch1","Group1",56284.8474601674
"Cell198","Cell198","Batch1","Group1",49106.7837662427
"Cell199","Cell199","Batch1","Group1",60045.1874228117
"Cell200","Cell200","Batch1","Group3",34232.5159379986
"Cell201","Cell201","Batch1","Group1",58266.4176715207
"Cell202","Cell202","Batch1","Group4",67283.867464939
"Cell203","Cell203","Batch1","Group3",59196.7097937962
"Cell204","Cell204","Batch1","Group4",60571.5454815221
"Cell205","Cell205","Batch1","Group4",61599.1551548179
"Cell206","Cell206","Batch1","Group5",71494.3833213279
"Cell207","Cell207","Batch1","Group4",46917.310210902
"Cell208","Cell208","Batch1","Group4",61078.471822449
"Cell209","Cell209","Batch1","Group3",82968.2836739283
"Cell210","Cell210","Batch1","Group1",67137.0214334811
"Cell211","Cell211","Batch1","Group3",56151.9570161256
"Cell212","Cell212","Batch1","Group4",71813.6539690676
"Cell213","Cell213","Batch1","Group4",60546.2897730925
"Cell214","Cell214","Batch1","Group3",83041.7340425676
"Cell215","Cell215","Batch1","Group1",67858.161512824
"Cell216","Cell216","Batch1","Group1",65515.1411463551
"Cell217","Cell217","Batch1","Group4",62786.9246259777
"Cell218","Cell218","Batch1","Group4",79388.4046156968
"Cell219","Cell219","Batch1","Group2",73216.4782652751
"Cell220","Cell220","Batch1","Group1",44116.4532215123
"Cell221","Cell221","Batch1","Group1",52086.5911259499
"Cell222","Cell222","Batch1","Group1",49909.2547808948
"Cell223","Cell223","Batch1","Group5",95037.2248963813
"Cell224","Cell224","Batch1","Group5",109461.697325198
"Cell225","Cell225","Batch1","Group5",59170.7173183609
"Cell226","Cell226","Batch1","Group2",39277.060860927
"Cell227","Cell227","Batch1","Group5",58766.9347257289
"Cell228","Cell228","Batch1","Group3",57884.6146577053
"Cell229","Cell229","Batch1","Group5",107410.162718982
"Cell230","Cell230","Batch1","Group1",48923.7721709344
"Cell231","Cell231","Batch1","Group3",83690.3336127078
"Cell232","Cell232","Batch1","Group3",63872.7803822471
"Cell233","Cell233","Batch1","Group5",42838.6234085421
"Cell234","Cell234","Batch1","Group4",50599.2260461295
"Cell235","Cell235","Batch1","Group4",56295.1616561574
"Cell236","Cell236","Batch1","Group1",65324.691615563
"Cell237","Cell237","Batch1","Group3",62514.1541651858
"Cell238","Cell238","Batch1","Group1",64208.3227581596
"Cell239","Cell239","Batch1","Group3",55093.2813321234
"Cell240","Cell240","Batch1","Group3",90421.3708612631
"Cell241","Cell241","Batch1","Group3",42173.3319236748
"Cell242","Cell242","Batch1","Group4",55008.4578996173
"Cell243","Cell243","Batch1","Group2",68036.1983813196
"Cell244","Cell244","Batch1","Group4",73546.385331963
"Cell245","Cell245","Batch1","Group2",44402.1095908113
"Cell246","Cell246","Batch1","Group1",89134.8958849196
"Cell247","Cell247","Batch1","Group3",47262.961239917
"Cell248","Cell248","Batch1","Group5",65086.6730653846
"Cell249","Cell249","Batch1","Group2",67382.8967548434
"Cell250","Cell250","Batch1","Group2",69029.0057718597
"Cell251","Cell251","Batch1","Group2",63547.8361967265
"Cell252","Cell252","Batch1","Group4",51005.8328893493
"Cell253","Cell253","Batch1","Group2",63447.9742283886
"Cell254","Cell254","Batch1","Group3",64703.7493110807
"Cell255","Cell255","Batch1","Group4",55078.7224574742
"Cell256","Cell256","Batch1","Group3",54725.4461411503
"Cell257","Cell257","Batch1","Group4",62564.9096814824
"Cell258","Cell258","Batch1","Group1",123164.222019681
"Cell259","Cell259","Batch1","Group3",61625.7099532726
"Cell260","Cell260","Batch1","Group3",41920.4843022514
"Cell261","Cell261","Batch1","Group3",69558.3239582581
"Cell262","Cell262","Batch1","Group2",55882.4254789811
"Cell263","Cell263","Batch1","Group5",44721.2672992722
"Cell264","Cell264","Batch1","Group1",49521.3820489387
"Cell265","Cell265","Batch1","Group5",55090.8318404495
"Cell266","Cell266","Batch1","Group3",98951.4416772066
"Cell267","Cell267","Batch1","Group2",57623.0230843956
"Cell268","Cell268","Batch1","Group5",64717.6892913174
"Cell269","Cell269","Batch1","Group2",66048.5057528928
"Cell270","Cell270","Batch1","Group4",77361.8151008652
"Cell271","Cell271","Batch1","Group5",56456.800287891
"Cell272","Cell272","Batch1","Group3",56375.3303205554
"Cell273","Cell273","Batch1","Group5",44466.2403433175
"Cell274","Cell274","Batch1","Group4",52717.8430321866
"Cell275","Cell275","Batch1","Group1",61454.5838706016
"Cell276","Cell276","Batch1","Group3",41558.4523839891
"Cell277","Cell277","Batch1","Group4",50322.5481975314
"Cell278","Cell278","Batch1","Group1",55295.1805657287
"Cell279","Cell279","Batch1","Group2",55026.8548280715
"Cell280","Cell280","Batch1","Group3",53795.9700455482
"Cell281","Cell281","Batch1","Group1",54771.3035787154
"Cell282","Cell282","Batch1","Group5",45669.8769795147
"Cell283","Cell283","Batch1","Group5",77843.1210065988
"Cell284","Cell284","Batch1","Group4",64017.7096449301
"Cell285","Cell285","Batch1","Group1",69505.1248545489
"Cell286","Cell286","Batch1","Group3",65971.0538730399
"Cell287","Cell287","Batch1","Group5",57644.8276329057
"Cell288","Cell288","Batch1","Group1",49420.7277199516
"Cell289","Cell289","Batch1","Group5",60436.5793104251
"Cell290","Cell290","Batch1","Group5",53226.5448484556
"Cell291","Cell291","Batch1","Group4",55978.1024231737
"Cell292","Cell292","Batch1","Group1",63649.8860088908
"Cell293","Cell293","Batch1","Group4",79112.508525002
"Cell294","Cell294","Batch1","Group4",81565.7743041759
"Cell295","Cell295","Batch1","Group3",74277.5740477674
"Cell296","Cell296","Batch1","Group4",68106.3986968163
"Cell297","Cell297","Batch1","Group5",39630.0924141659
"Cell298","Cell298","Batch1","Group2",54350.9424964229
"Cell299","Cell299","Batch1","Group3",67826.5859670288
"Cell300","Cell300","Batch1","Group1",93776.2921613977
"Cell301","Cell301","Batch1","Group4",55147.2459996701
"Cell302","Cell302","Batch1","Group3",73474.3647385802
"Cell303","Cell303","Batch1","Group5",65879.0336683502
"Cell304","Cell304","Batch1","Group2",42098.269915965
"Cell305","Cell305","Batch1","Group5",50192.5386990432
"Cell306","Cell306","Batch1","Group1",52688.7812244555
"Cell307","Cell307","Batch1","Group4",49406.9675935032
"Cell308","Cell308","Batch1","Group5",64052.9184110052
"Cell309","Cell309","Batch1","Group1",70377.813969078
"Cell310","Cell310","Batch1","Group4",63848.668454529
"Cell311","Cell311","Batch1","Group3",75337.6122603948
"Cell312","Cell312","Batch1","Group5",64221.3653707811
"Cell313","Cell313","Batch1","Group5",55729.4447178158
"Cell314","Cell314","Batch1","Group2",45430.8067862931
"Cell315","Cell315","Batch1","Group2",66010.4278684278
"Cell316","Cell316","Batch1","Group5",48846.777717674
"Cell317","Cell317","Batch1","Group5",80433.5086217116
"Cell318","Cell318","Batch1","Group4",59163.5327265748
"Cell319","Cell319","Batch1","Group1",72352.8433613102
"Cell320","Cell320","Batch1","Group1",70495.3704717953
"Cell321","Cell321","Batch1","Group4",61354.0077440213
"Cell322","Cell322","Batch1","Group4",45854.8684630567
"Cell323","Cell323","Batch1","Group3",70873.2876145884
"Cell324","Cell324","Batch1","Group1",64047.8468819441
"Cell325","Cell325","Batch1","Group3",70297.1351994218
"Cell326","Cell326","Batch1","Group2",56129.6586010828
"Cell327","Cell327","Batch1","Group5",65818.7602903489
"Cell328","Cell328","Batch1","Group5",44626.6099361571
"Cell329","Cell329","Batch1","Group5",47153.3688054977
"Cell330","Cell330","Batch1","Group1",56342.9031464776
"Cell331","Cell331","Batch1","Group1",77213.7245470655
"Cell332","Cell332","Batch1","Group3",67707.3186557381
"Cell333","Cell333","Batch1","Group1",48377.397943334
"Cell334","Cell334","Batch1","Group2",62444.2877686576
"Cell335","Cell335","Batch1","Group4",46877.6716478137
"Cell336","Cell336","Batch1","Group2",37867.0933617291
"Cell337","Cell337","Batch1","Group2",62916.178519739
"Cell338","Cell338","Batch1","Group1",53227.0848505517
"Cell339","Cell339","Batch1","Group4",56591.3954747005
"Cell340","Cell340","Batch1","Group1",50620.1345793703
"Cell341","Cell341","Batch1","Group5",52625.1316858654
"Cell342","Cell342","Batch1","Group2",36977.8259379598
"Cell343","Cell343","Batch1","Group2",66644.5356848133
"Cell344","Cell344","Batch1","Group3",75595.5121484252
"Cell345","Cell345","Batch1","Group3",76945.4010514546
"Cell346","Cell346","Batch1","Group4",62370.1644052934
"Cell347","Cell347","Batch1","Group5",67183.1842667835
"Cell348","Cell348","Batch1","Group3",53054.7535205495
"Cell349","Cell349","Batch1","Group3",52499.1110009306
"Cell350","Cell350","Batch1","Group5",59812.2911126512
"Cell351","Cell351","Batch1","Group5",49998.0228333671
"Cell352","Cell352","Batch1","Group2",56051.8266649602
"Cell353","Cell353","Batch1","Group2",50275.3824532557
"Cell354","Cell354","Batch1","Group3",45423.9455735498
"Cell355","Cell355","Batch1","Group5",51411.8795728226
"Cell356","Cell356","Batch1","Group4",58920.1737797205
"Cell357","Cell357","Batch1","Group3",50684.5961876182
"Cell358","Cell358","Batch1","Group3",79638.3094888717
"Cell359","Cell359","Batch1","Group5",66091.9318215374
"Cell360","Cell360","Batch1","Group3",91495.1724693525
"Cell361","Cell361","Batch1","Group2",50755.0951955348
"Cell362","Cell362","Batch1","Group1",55715.5243808556
"Cell363","Cell363","Batch1","Group5",57779.0174902097
"Cell364","Cell364","Batch1","Group4",41915.3953492657
"Cell365","Cell365","Batch1","Group1",47002.2750047478
"Cell366","Cell366","Batch1","Group4",66157.8722590323
"Cell367","Cell367","Batch1","Group2",69498.4375113028
"Cell368","Cell368","Batch1","Group5",63141.6694291224
"Cell369","Cell369","Batch1","Group4",56155.8136661029
"Cell370","Cell370","Batch1","Group5",45630.1432519014
"Cell371","Cell371","Batch1","Group3",61656.5093757951
"Cell372","Cell372","Batch1","Group5",90513.9634037479
"Cell373","Cell373","Batch1","Group3",72764.1559699302
"Cell374","Cell374","Batch1","Group2",73354.6684333922
"Cell375","Cell375","Batch1","Group3",68192.465282707
"Cell376","Cell376","Batch1","Group3",40311.2880529478
"Cell377","Cell377","Batch1","Group3",50356.1194548407
"Cell378","Cell378","Batch1","Group2",59053.8398716649
"Cell379","Cell379","Batch1","Group4",51616.1628642699
"Cell380","Cell380","Batch1","Group3",46517.3962459743
"Cell381","Cell381","Batch1","Group1",60459.4552892695
"Cell382","Cell382","Batch1","Group4",56727.3110777376
"Cell383","Cell383","Batch1","Group1",62978.5979528752
"Cell384","Cell384","Batch1","Group1",58809.4408135221
"Cell385","Cell385","Batch1","Group2",63078.8537338654
"Cell386","Cell386","Batch1","Group1",54315.5443219738
"Cell387","Cell387","Batch1","Group1",49312.9940472704
"Cell388","Cell388","Batch1","Group1",60913.6285951652
"Cell389","Cell389","Batch1","Group5",54490.4793324465
"Cell390","Cell390","Batch1","Group4",73256.2390846744
"Cell391","Cell391","Batch1","Group3",63004.1670192181
"Cell392","Cell392","Batch1","Group5",49275.4468179464
"Cell393","Cell393","Batch1","Group4",73759.3186589553
"Cell394","Cell394","Batch1","Group3",49665.3563725491
"Cell395","Cell395","Batch1","Group5",63328.3077682429
"Cell396","Cell396","Batch1","Group5",57858.449221877
"Cell397","Cell397","Batch1","Group3",73672.0825292166
"Cell398","Cell398","Batch1","Group5",59641.605643231
"Cell399","Cell399","Batch1","Group2",50379.9884484581
"Cell400","Cell400","Batch1","Group1",63437.5551220108
"Cell401","Cell401","Batch1","Group3",85863.5598097618
"Cell402","Cell402","Batch1","Group2",53112.1977019753
"Cell403","Cell403","Batch1","Group4",73421.5501435822
"Cell404","Cell404","Batch1","Group3",72550.4210880013
"Cell405","Cell405","Batch1","Group5",76557.7164698684
"Cell406","Cell406","Batch1","Group3",56905.2889496026
"Cell407","Cell407","Batch1","Group4",79262.2231277732
"Cell408","Cell408","Batch1","Group2",55936.6992205983
"Cell409","Cell409","Batch1","Group4",43396.3098477068
"Cell410","Cell410","Batch1","Group5",72209.2467522578
"Cell411","Cell411","Batch1","Group3",66061.6133807816
"Cell412","Cell412","Batch1","Group1",55153.5078868757
"Cell413","Cell413","Batch1","Group1",66442.7619957478
"Cell414","Cell414","Batch1","Group3",89888.8683626659
"Cell415","Cell415","Batch1","Group1",81362.7499595071
"Cell416","Cell416","Batch1","Group5",62068.4285959503
"Cell417","Cell417","Batch1","Group1",69122.7056623929
"Cell418","Cell418","Batch1","Group5",54025.1202749586
"Cell419","Cell419","Batch1","Group4",48851.0128855372
"Cell420","Cell420","Batch1","Group2",59393.8360225029
"Cell421","Cell421","Batch1","Group2",58149.274442064
"Cell422","Cell422","Batch1","Group3",48958.5043742714
"Cell423","Cell423","Batch1","Group4",47408.0468713648
"Cell424","Cell424","Batch1","Group1",46129.6219807494
"Cell425","Cell425","Batch1","Group2",46506.9510769925
"Cell426","Cell426","Batch1","Group5",78227.5431820044
"Cell427","Cell427","Batch1","Group2",79026.3496879136
"Cell428","Cell428","Batch1","Group5",50225.006158547
"Cell429","Cell429","Batch1","Group5",69873.131856609
"Cell430","Cell430","Batch1","Group3",67440.1487917262
"Cell431","Cell431","Batch1","Group2",73236.8128655354
"Cell432","Cell432","Batch1","Group5",85936.9045289268
"Cell433","Cell433","Batch1","Group3",61089.8284360505
"Cell434","Cell434","Batch1","Group3",54834.7133844435
"Cell435","Cell435","Batch1","Group4",58902.2481727058
"Cell436","Cell436","Batch1","Group2",74520.253537204
"Cell437","Cell437","Batch1","Group3",66047.6245523119
"Cell438","Cell438","Batch1","Group5",58705.4196588222
"Cell439","Cell439","Batch1","Group1",92046.8310014934
"Cell440","Cell440","Batch1","Group4",52891.2032908305
"Cell441","Cell441","Batch1","Group5",43532.0312559018
"Cell442","Cell442","Batch1","Group5",58709.7837449701
"Cell443","Cell443","Batch1","Group4",55914.988638091
"Cell444","Cell444","Batch1","Group4",42339.147269005
"Cell445","Cell445","Batch1","Group2",52290.3612359298
"Cell446","Cell446","Batch1","Group2",54126.9372207157
"Cell447","Cell447","Batch1","Group1",48856.6883872956
"Cell448","Cell448","Batch1","Group1",47965.1284303872
"Cell449","Cell449","Batch1","Group1",76544.1091114339
"Cell450","Cell450","Batch1","Group4",55453.4401422792
"Cell451","Cell451","Batch1","Group2",83285.0086144765
"Cell452","Cell452","Batch1","Group4",54382.6365766598
"Cell453","Cell453","Batch1","Group4",83471.450883644
"Cell454","Cell454","Batch1","Group3",34221.0687363954
"Cell455","Cell455","Batch1","Group2",74886.8032711381
"Cell456","Cell456","Batch1","Group1",76387.0423133976
"Cell457","Cell457","Batch1","Group4",39607.685524802
"Cell458","Cell458","Batch1","Group5",79385.4189065493
"Cell459","Cell459","Batch1","Group3",45030.5183136365
"Cell460","Cell460","Batch1","Group3",63300.1557632238
"Cell461","Cell461","Batch1","Group4",36470.0941085158
"Cell462","Cell462","Batch1","Group4",51819.003093056
"Cell463","Cell463","Batch1","Group5",49813.0168860406
"Cell464","Cell464","Batch1","Group4",41246.8136067996
"Cell465","Cell465","Batch1","Group4",48242.9985019126
"Cell466","Cell466","Batch1","Group4",46202.2109105655
"Cell467","Cell467","Batch1","Group5",39653.176256667
"Cell468","Cell468","Batch1","Group5",54972.9669003911
"Cell469","Cell469","Batch1","Group1",48487.311059109
"Cell470","Cell470","Batch1","Group4",57241.5119721301
"Cell471","Cell471","Batch1","Group3",52873.3855711546
"Cell472","Cell472","Batch1","Group2",53857.9452176138
"Cell473","Cell473","Batch1","Group1",58067.058901815
"Cell474","Cell474","Batch1","Group3",82918.0468647698
"Cell475","Cell475","Batch1","Group4",72395.7921412469
"Cell476","Cell476","Batch1","Group4",47556.6919849188
"Cell477","Cell477","Batch1","Group1",70471.7912241251
"Cell478","Cell478","Batch1","Group1",60006.98651641
"Cell479","Cell479","Batch1","Group4",53817.9969241148
"Cell480","Cell480","Batch1","Group2",50494.389683614
"Cell481","Cell481","Batch1","Group2",74333.1740124214
"Cell482","Cell482","Batch1","Group1",87177.8139285845
"Cell483","Cell483","Batch1","Group2",46714.5167367946
"Cell484","Cell484","Batch1","Group3",65207.2077725349
"Cell485","Cell485","Batch1","Group4",63157.4500866085
"Cell486","Cell486","Batch1","Group3",50193.3489315682
"Cell487","Cell487","Batch1","Group5",68801.2341113604
"Cell488","Cell488","Batch1","Group4",95381.0016424535
"Cell489","Cell489","Batch1","Group1",67444.4535952783
"Cell490","Cell490","Batch1","Group1",71520.0960825038
"Cell491","Cell491","Batch1","Group2",49645.003727353
"Cell492","Cell492","Batch1","Group5",54110.9897865882
"Cell493","Cell493","Batch1","Group4",54171.9121625887
"Cell494","Cell494","Batch1","Group1",74711.2216813282
"Cell495","Cell495","Batch1","Group2",51677.3293096115
"Cell496","Cell496","Batch1","Group5",57887.1499749546
"Cell497","Cell497","Batch1","Group2",50718.2823992451
"Cell498","Cell498","Batch1","Group4",53094.4339897681
"Cell499","Cell499","Batch1","Group5",52518.286560933
"Cell500","Cell500","Batch1","Group4",67066.3100187651
