,label
Cell_182,2338
Cell_183,2338
Cell_184,2338
Cell_185,BJ
Cell_186,Kera
Cell_187,Kera
Cell_188,GW16
Cell_189,GW16
Cell_190,K562
Cell_191,K562
Cell_192,NPC
Cell_193,K562
Cell_194,2339
Cell_195,2339
Cell_196,GW21
Cell_197,HL60
Cell_198,K562
Cell_199,GW16
Cell_200,2338
Cell_201,HL60
Cell_202,Kera
Cell_203,Kera
Cell_204,Kera
Cell_205,Kera
Cell_206,GW16
Cell_207,GW16
Cell_208,GW21
Cell_209,NPC
Cell_210,2339
Cell_211,NPC
Cell_212,HL60
Cell_213,HL60
Cell_214,2338
Cell_215,2339
Cell_216,HL60
Cell_217,GW16
Cell_218,K562
Cell_219,BJ
Cell_220,HL60
Cell_221,BJ
Cell_222,Kera
Cell_223,Kera
Cell_224,NPC
Cell_225,HL60
Cell_226,GW16
Cell_227,K562
Cell_228,HL60
Cell_229,Kera
Cell_230,2339
Cell_231,2338
Cell_232,Kera
Cell_233,Kera
Cell_234,HL60
Cell_235,2338
Cell_236,NPC
Cell_237,Kera
Cell_238,Kera
Cell_239,GW16
Cell_240,HL60
Cell_241,2339
Cell_242,HL60
Cell_243,GW16
Cell_244,2338
Cell_245,GW21
Cell_246,GW16
Cell_247,NPC
Cell_248,Kera
Cell_249,HL60
Cell_250,NPC
Cell_251,NPC
Cell_252,GW21
Cell_253,Kera
Cell_254,HL60
Cell_255,NPC
Cell_256,K562
Cell_257,HL60
Cell_258,2338
Cell_259,K562
Cell_260,K562
Cell_261,Kera
Cell_262,2338
Cell_263,2338
Cell_264,2338
Cell_265,Kera
Cell_266,GW16
Cell_267,K562
Cell_268,Kera
Cell_269,Kera
Cell_270,HL60
Cell_271,Kera
Cell_272,GW16
Cell_273,2338
Cell_274,Kera
Cell_275,Kera
Cell_276,GW21
Cell_277,GW16
Cell_278,HL60
Cell_279,HL60
Cell_280,HL60
Cell_281,NPC
Cell_282,2338
Cell_283,K562
Cell_284,K562
Cell_285,Kera
Cell_286,GW16
Cell_287,K562
Cell_288,K562
Cell_289,2338
Cell_290,2338
Cell_291,K562
Cell_292,K562
Cell_293,2338
Cell_294,HL60
Cell_295,HL60
Cell_296,K562
Cell_297,2338
Cell_298,HL60
Cell_299,K562
